"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree"
"0500000US06095","Solano County, California","310707","742","6265","1487","34","57","200","263","0","216","95","179","875","621","446","268","501","360","5986","2205","431","300","2235","1117","2526","984","3404","1025","4243","1284","6248","1386","67303","4342","6019","1286","24942","2814","57738","4166","31394","3110","59359","4064","22477","2843","6047","1187","1939","517"
"0500000US06097","Sonoma County, California","359124","888","6618","1917","66","112","59","106","72","94","880","676","1372","831","484","537","1578","1367","4584","1718","559","553","3220","1359","2627","1302","2011","936","5227","1539","7762","1559","57816","3908","10266","2143","27473","2253","57933","4515","34043","3467","83916","4226","32171","2633","12731","1704","5656","1433"
"0500000US06099","Stanislaus County, California","349579","1423","12165","2056","68","114","77","127","357","304","564","490","1558","1047","1756","792","1131","714","14921","3143","1830","993","5579","1551","3248","1249","5396","1431","9994","2444","10155","1831","93885","5961","13055","1828","29362","3302","58990","5347","24905","2645","43323","3345","10942","1743","3877","1241","2441","902"
"0500000US06101","Sutter County, California","62991","997","2141","852","0","216","0","216","202","305","342","417","509","446","337","364","1119","848","1196","937","0","216","712","394","611","385","1264","684","1105","666","3373","1152","12862","1654","1698","625","4322","835","11505","1871","6469","1074","7792","1272","4090","1065","1028","430","314","197"
"0500000US06103","Tehama County, California","45751","1592","1489","878","0","216","0","216","0","216","0","216","159","268","0","216","10","17","0","216","116","193","821","812","351","286","606","355","670","493","3445","1357","12967","2077","1872","856","4846","1323","6455","1457","4501","1266","4443","1604","2055","1204","884","615","61","115"
"0500000US06107","Tulare County, California","277457","697","11835","2337","0","216","829","1036","889","649","1264","746","2795","1167","2295","1131","2769","1136","15650","3251","1952","890","4649","1374","7696","2127","5124","1367","6443","1639","7604","2097","63798","5305","7166","1637","19374","2791","48108","4073","29384","3048","25160","3622","9035","1676","2592","957","1046","515"
"0500000US06111","Ventura County, California","577254","1047","8159","1395","96","83","122","161","600","424","1809","762","3960","1378","1224","691","2865","977","25516","3298","1183","591","2816","966","8170","1757","4595","1351","8678","1750","8406","1437","111614","5953","9117","1537","29921","2767","94022","5592","53341","3633","126372","5406","50764","3019","14739","1689","9165","1522"
"0500000US06113","Yolo County, California","131248","538","2391","903","0","216","108","135","0","216","447","582","693","645","400","332","53","88","3162","1284","170","172","921","752","1087","591","526","368","2077","1013","2735","846","22322","2953","3911","1442","6200","1164","19044","2497","12666","1817","29079","2563","13234","1658","4932","1015","5090","978"
"0500000US06115","Yuba County, California","50675","787","1150","563","0","216","55","100","0","216","36","62","129","203","157","228","57","100","845","640","0","216","947","703","837","530","1011","451","2971","1274","1441","627","10281","1349","2674","947","3891","1161","10076","1817","5061","1348","6614","1487","2077","769","283","260","82","141"
"0400000US06","California","26937872","5782","727316","17298","7954","1422","10659","1971","33283","3786","71855","4808","169356","9944","102830","5827","122245","7060","732812","18193","107946","6021","259979","11243","495613","15201","322846","11599","431436","12952","705383","13490","4926010","45237","620701","14678","1523559","24080","4018813","39674","2118792","25012","5889724","34186","2400918","23668","672307","13762","465535","9758"
